Numéro billet;Inscrit;Prénom participant;Nom participant;Paiement;Montant dû;Moyen de paiement;Prestations;Acheté par;Prénom;Nom;Identifiant;Email de l'acheteur;Date de paiement;Date de création;Activités + Afterwork - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Afterwork Uniquement - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités uniquement (à partir de 9h30 jusqu'à 18h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;JOURNEE ET SOIREE - Afterwork uniquement (18h - 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;NUIT - Continuer la fête et dormir sur l'île (23h - 8h);NUIT - Continuer la fête et dormir sur l'île (23h - 8h) [Supprimé];Société;Fonction;Choix d'atelier n°1 (les ateliers** doublent vos jetons !);Lunch pack;Choix du moyen de transport à l'aller;Choix du moyen de transport au retour;J'accepte qu'on utilise mes informations, et qu'on me photographie, à des fins de communication.;Choix d'atelier n°2 (les ateliers** doublent vos jetons !);Choix d'atelier n°3 (les ateliers** doublent vos jetons !);Choix d'atelier n°5 (les ateliers** doublent vos jetons !);Ville Société;Je m'inscris à la newsletter de Cannes Is Up et accepte d'être contacté par email;Choix d'atelier n°4 (les ateliers** doublent vos jetons !);La rencontre avec les décideurs est réservée aux sociétés innovantes. Quelle est votre innovation?;Détail
;Alyce Maynard;Alyce;Maynard;;;;;;;;;alycemaynard@genesynk.com;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;Tir à l'arc**;Comptabilité Gestion par PEPIT**;Assurance par GAN;;; ;;
;English Brewer;English;Brewer;;;;;;;;;englishbrewer@exodoc.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Météo par SELERYS;Assurance par GAN;;;Whimsifoil: volez au dessus de l'eau!**;;
;Chang Decker;Chang;Decker;;;;;;;;;changdecker@cipromox.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Assurance par GAN**;Réseaux Sociaux**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Whimsifoil: volez au dessus de l'eau!**;;
;Best Lawson;Best;Lawson;;;;;;;;;bestlawson@kiggle.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Assurance par GAN**;Création et quizz parfum par MOLINARD et ROBERTET**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Whimsifoil: volez au dessus de l'eau!**;;
;Gonzales Hooper;Gonzales;Hooper;;;;;;;;;gonzaleshooper@nipaz.com;;;;;;;;;;;;Météo: Selerys;;;;;Météo: Selerys**;Whimsifoil : volez au-dessus de l'eau !;Charisme et Leadership;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Richardson Hunt;Richardson;Hunt;;;;;;;;;richardsonhunt@cytrek.com;;;;;;;;;;;;Météo: Selerys;;;;;Réseaux Sociaux**;Whimsifoil : volez au-dessus de l'eau !;Charisme et Leadership;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Alejandra Madden;Alejandra;Madden;;;;;;;;;alejandramadden@jetsilk.com;;;;;;;;;;;;Assurance par GAN**;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;Droit de l'innovation TBC**;Charisme et Leadership;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Gabriela Holden;Gabriela;Holden;;;;;;;;;gabrielaholden@translink.com;;;;;;;;;;;;Assurance par GAN**;;;;;Whimsifoil : volez au-dessus de l'eau !;Casse- tete par Enigm'art**;Charisme et Leadership;;;Création et quizz parfum par MOLINARD et ROBERTET**;;
;Iva Lamb;Iva;Lamb;;;;;;;;;ivalamb@zizzle.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Droit de l'innovation TBC**;Charisme et Leadership**;Ping-Pong;;;Création et quizz parfum par MOLINARD et ROBERTET**;;
;Parker Berry;Parker;Berry;;;;;;;;;parkerberry@acumentor.com;;;;;;;;;;;;Tir à l'arc**;;;;;Droit de l'innovation TBC**;Ping-Pong**;Whimsifoil: volez au-dessus de l'eau!**;;;Création et quizz parfum par MOLINARD et ROBERTET**;;
;Essie Sweeney;Essie;Sweeney;;;;;;;;;essiesweeney@nikuda.com;;;;;;;;;;;;Paddle**;;;;;Casse-tete par Enigm'art**;Référencement Google par BRAINY UP**;Quiz Cinéma par ADASTRA FILMS;;; ;;
;Atkins Salas;Atkins;Salas;;;;;;;;;atkinssalas@greeker.com;;;;;;;;;;;;Tir à l'arc**;;;;;Charisme et Leadership**;Quiz Cinéma par ADASTRA FILMS**;Référencement Google par BRAINY UP**;;;Création et quizz parfum par MOLINARD et ROBERTET**;;
;Burks Cantu;Burks;Cantu;;;;;;;;;burkscantu@slax.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Ping-Pong**;Branding:comment valoriser votre marque par COULEUR VELVET**;Référencement Google par BRAINY UP**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Boyle Winters;Boyle;Winters;;;;;;;;;boylewinters@essensia.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Référencement Google par BRAINY UP**;Storytelling**;Quiz Cinéma par ADASTRA FILMS;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Nina Palmer;Nina;Palmer;;;;;;;;;ninapalmer@rodemco.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Quiz Cinéma par ADASTRA FILMS**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";;;Création et quizz parfum par MOLINARD et ROBERTET**;;
;Gloria Caldwell;Gloria;Caldwell;;;;;;;;;gloriacaldwell@boilicon.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Référencement Google par BRAINYUP**;;
;Terrie Lang;Terrie;Lang;;;;;;;;;terrielang@cofine.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Storytelling**;Yoga par ETOILES DES SABLES**;Pétanque par BLEU BEACON**;;;Référencement Google par BRAINYUP**;;
;Bradley Woods;Bradley;Woods;;;;;;;;;bradleywoods@panzent.com;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Biodiversité & Environnement par le CPIE**;Pétanque par BLEU BEACON**;;;Référencement Google par BRAINYUP**;;
;Nikki Burke;Nikki;Burke;;;;;;;;;nikkiburke@rooforia.com;;;;;;;;;;;;Charisme et Leadership**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Atelier des sens par LES CONFISERIES FLORIAN**;Pétanque par BLEU BEACON**;;;Basket par O'SOL**;;
;Lydia May;Lydia;May;;;;;;;;;lydiamay@vixo.com;;;;;;;;;;;;Ping-Pong**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Poker par ALPHA CONSEILS**;Pétanque par BLEU BEACON**;;;Basket par O'SOL**;;
;Graves Mcintyre;Graves;Mcintyre;;;;;;;;;gravesmcintyre@amtap.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Yoga par ETIOLES DES SABLES**;Massages (contre 1 jeton !);Pétanque par BLEU BEACON**;;;Basket par O'SOL**;;
;Antoinette Duffy;Antoinette;Duffy;;;;;;;;;antoinetteduffy@caxt.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Basket par O'SOL**;Pétanque par BLEU BEACON**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Downs Tyler;Downs;Tyler;;;;;;;;;downstyler@bedder.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Biodiversité & Environnement par le CPIE**;Basket par O'SOL**;Yoga par ETOILES DES SABLES**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Queen Morgan;Queen;Morgan;;;;;;;;;queenmorgan@portico.com;;;;;;;;;;;;Storytelling**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Pétanque par BLUE BEACON**;Yoga par ETOILES DES SABLES**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Maricela Adams;Maricela;Adams;;;;;;;;;maricelaadams@unq.com;;;;;;;;;;;;Storytelling**;;;;;Poker par ALPHA CONSEILS**;Kayak**;Yoga par ETOILES DES SABLES**;;;Massage(contre 1 jeton)**;;
;Monique Keith;Monique;Keith;;;;;;;;;moniquekeith@skybold.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Poker par ALPHA CONSEILS**;Paddle;Yoga par ETOILES DES SABLES**;;;Massage(contre 1 jeton)**;;
;Snow Hess;Snow;Hess;;;;;;;;;snowhess@exotechno.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Whimsifoil : volez au-dessus de l'eau !;Tir à l'arc**;Yoga par ETOILES DES SABLES**;;;Massage(contre 1 jeton)**;;
;Kelly Valencia;Kelly;Valencia;;;;;;;;;kellyvalencia@quonk.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Droit de l'innovation TBC**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Massage (contre 1 jeton)**;;;Yoga par ETOILES DES SABLES**;;
;Bobbi Bolton;Bobbi;Bolton;;;;;;;;;bobbibolton@isotronic.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Biodiversité & Environnement par le CPIE**;Assurance par GAN**;Massage (contre 1 jeton)**;;; ;;
;Hernandez Pennington;Hernandez;Pennington;;;;;;;;;hernandezpennington@fuelworks.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Comptabilité Gestion par PEPIT**;Storytelling**;Massage (contre 1 jeton)**;;;Yoga par ETOILES DES SABLES**;;
;Robin Harrell;Robin;Harrell;;;;;;;;;robinharrell@zerbina.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Comptabilité Gestion par PEPIT**;Storytelling**;Massage (contre 1 jeton)**;;;Yoga par ETOILES DES SABLES**;;
;Sylvia Boyd;Sylvia;Boyd;;;;;;;;;sylviaboyd@talkalot.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Réseaux Sociaux**;Storytelling**;Basket par O'SOL**;;; ;;
;Elvira Clayton;Elvira;Clayton;;;;;;;;;elviraclayton@gynk.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Météo: Selerys**;Création et quizz parfum par MOLINARD et ROBERTET**;Basket par O'SOL**;;;Yoga par ETOILES DES SABLES**;;
;Albert Morales;Albert;Morales;;;;;;;;;albertmorales@multron.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Casse-tete par Enigm'art**;Charisme et Leadership**;Basket par O'SOL**;;;Météo: Selerys**;;
;Margie Mathews;Margie;Mathews;;;;;;;;;margiemathews@zillanet.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Charisme et Leadership**;Whimsifoil : volez au-dessus de l'eau !;Basket par O'SOL**;;;Météo: Selerys**;;
;Hewitt Farley;Hewitt;Farley;;;;;;;;;hewittfarley@geofarm.com;;;;;;;;;;;;Ping-Pong**;;;;;Ping-Pong**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Kayak;;;Météo: Selerys**;;
;Doyle Pierce;Doyle;Pierce;;;;;;;;;doylepierce@polarax.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Kayak;;;Météo: Selerys**;;
;Larsen Dickson;Larsen;Dickson;;;;;;;;;larsendickson@handshake.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Storytelling**;Kayak;;;Réséaux Sociaux**;;
;Ballard Erickson;Ballard;Erickson;;;;;;;;;ballarderickson@futuris.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Yoga par ETIOLES DES SABLES**;Storytelling**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Réséaux Sociaux**;;
;Burch Mueller;Burch;Mueller;;;;;;;;;burchmueller@menbrain.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Charisme et Leadership**;Storytelling**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;; ;;
;Katharine Clay;Katharine;Clay;;;;;;;;;katharineclay@softmicro.com;;;;;;;;;;;;Storytelling**;;;;;Ping-Pong**;Whimsifoil : volez au-dessus de l'eau !;Référencement Google par BRAINY UP**;;;Réséaux Sociaux**;;
;Phoebe Norton;Phoebe;Norton;;;;;;;;;phoebenorton@quarmony.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Référencement Google par BRAINY UP**;Storytelling**;Charisme et Leadership;;;Réséaux Sociaux**;;
;Vaughan Delaney;Vaughan;Delaney;;;;;;;;;vaughandelaney@magneato.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Référencement Google par BRAINY UP**;Branding:comment valoriser votre marque par COULEUR VELVET**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Storytelling**;;
;Yvette Keller;Yvette;Keller;;;;;;;;;yvettekeller@obliq.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Quiz Cinéma par ADASTRA FILMS**;Biodiversité & Environnement par le CPIE**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Storytelling**;;
;Richards Franks;Richards ;Frank;;;;;;;;;richardsfranks@ozean.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Charisme et Leadership**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Storytelling**;;
;Tanisha Kelly;Tanisha;Kelly;;;;;;;;;tanishakelly@orbean.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Storytelling**;Ping-Pong**;Poker par ALPHA CONSEILS**;;;Kayak;;
;Randi Fleming;Randi;Fleming;;;;;;;;;randifleming@zytrex.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Storytelling**;Kayak**;Poker par ALPHA CONSEILS**;;;Paddle**;;
;Woodard Hinton;Woodard;Hinton;;;;;;;;;woodardhinton@comfirm.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Paddle;Kayak;;;Whimsifoil: volez au dessus de l'eau!**;;
;Henrietta Horne;Henrietta;Horne;;;;;;;;;henriettahorne@eventage.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Pétanque par BLUE BEACON**;Paddle**;;;Whimsifoil: volez au dessus de l'eau!**;;
;Aisha Glover;Aisha;Glover;;;;;;;;;aishaglover@medalert.com;;;;;;;;;;;;Kayak**;;;;;Yoga par ETIOLES DES SABLES**;Massages (contre 1 jeton !);Paddle**;;;Whimsifoil: volez au dessus de l'eau!**;;
;Trisha Baird;Trisha ;Baird;;;;;;;;;trishabaird@inear.com;;;;;;;;;;;;Paddle**;;;;;Kayak;Massages (contre 1 jeton !);Whimsifoil: volez au-dessus de l'eau!**;;;Paddle**;;
;Dianne Cooley;Dianne;Cooley;;;;;;;;;diannecooley@olucore.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Paddle**;Massages (contre 1 jeton !);Whimsifoil: volez au-dessus de l'eau!**;;;Kayak;;
;Jannet Fernandez;Jannet;Fernandez;;;;;;;;;janetfernandez@artiq.com;;;;;;;;;;;;Assurance par GAN**;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Création et quizz parfum par MOLINARD et ROBERTET**;Whimsifoil: volez au-dessus de l'eau!**;;; ;;
;Blankenship Duke;Blankenship;Duke;;;;;;;;;blankenshipduke@zanymax.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Assurance par GAN**;Réseaux Sociaux**;Whimsifoil: volez au-dessus de l'eau!**;;;Yoga par ETOILES DES SABLES**;;
;Leah Sampson;Leah;Sampson;;;;;;;;;leahsampson@pathways.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Comptabilité Gestion par PEPIT**;Météo par SELERYS;Quiz Cinéma par ADASTRA FILMS;;;Yoga par ETOILES DES SABLES**;;
;King Leach;King;Leach;;;;;;;;;kingleach@zoid.com;;;;;;;;;;;;Storytelling**;;;;;Comptabilité Gestion par PEPIT**;Réseaux Sociaux**;Quiz Cinéma par ADASTRA FILMS;;;Yoga par ETOILES DES SABLES**;;
;Elsie Blackwell;Elsie;Blackwell;;;;;;;;;elsieblackwell@xoggle.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Référencement Google par BRAINY UP**;Massages (contre 1 jeton !);Quiz Cinéma par ADASTRA FILMS;;;Yoga par ETOILES DES SABLES**;;
;Christian Hewitt;Christian;Hewitt;;;;;;;;;christianhewitt@sultraxin.com;;;;;;;;;;;;Ping-Pong**;;;;;Charisme et Leadership**;Référencement Google par BRAINY UP**;Quiz Cinéma par ADASTRA FILMS;;;Comptabilité Gestion par PEPIT**;;
;Chandra Mccarty;Chandra;Mccarty;;;;;;;;;chandramccarty@combogene.com;;;;;;;;;;;;Assurance par GAN**;;;;;Ping-Pong**;Référencement Google par BRAINY UP**;Quiz Cinéma par ADASTRA FILMS;;;Comptabilité Gestion par PEPIT**;;
;Lorie Lane;Lorie;Lane;;;;;;;;;lorielane@extremo.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Quiz Cinéma par ADASTRA FILMS**;Charisme et Leadership;;;Comptabilité Gestion par PEPIT**;;
;Chase Lucas;Chase;Lucas;;;;;;;;;chaselucas@ecrater.com;;;;;;;;;;;;Météo: Selerys;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Branding:comment valoriser votre marque par COULEUR VELVET**;Charisme et Leadership;;;Ping-Pong;;
;Patterson Stafford;Patterson;Stafford;;;;;;;;;pattersonstafford@besto.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Yoga par ETIOLES DES SABLES**;Poker par ALPHA CONSEILS**;Charisme et Leadership;;;Ping-Pong;;
;Amelia Hancock;Amelia;Hancock;;;;;;;;;ameliahancock@musaphics.com;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;Storytelling**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Charisme et Leadership;;;Ping-Pong;;
;Adrian Ray;Adrian;Ray;;;;;;;;;adrianray@exospeed.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Tir à l'arc**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Charisme et Leadership;;;Poker par ALPHA CONSEILS**;;
;Freda Jordan;Frada ;Jordan;;;;;;;;;fredajordan@recrisys.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Assurance par GAN**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Charisme et Leadership;;;Poker par ALPHA CONSEILS**;;
;Mercer Webster;Mercer;Webster;;;;;;;;;mercerwebster@gmail.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Casse-tete par Enigm'art**;Poker par ALPHA CONSEILS**;Charisme et Leadership;;;Poker par ALPHA CONSEILS**;;
;Hill Miller;Hill;Miller;;;;;;;;;hillmiller@gmail.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Droit de l'innovation TBC**;Whimsifoil : volez au-dessus de l'eau !;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Poker par ALPHA CONSEILS**;;
;Elena Mooney;Elena;Mooney;;;;;;;;;elenamooney@gmail.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Droit de l'innovation TBC**;Paddle;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Poker par ALPHA CONSEILS**;;
;Trujillo Welch;Trujillo;Welch;;;;;;;;;trujillowelch@frenex.com;;;;;;;;;;;;Assurance par GAN**;;;;;Whimsifoil : volez au-dessus de l'eau !;Kayak**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Poker par ALPHA CONSEILS**;;
;Latonya Schwartz;Latonya;Schwartz;;;;;;;;;latonyaschwartz@turnabout.com;;;;;;;;;;;;Kayak**;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;Pétanque par BLUE BEACON**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Poker par ALPHA CONSEILS**;;
;Claudine Fuentes;Claudine;Fuentes;;;;;;;;;claudinefuentes@zolavo.com;;;;;;;;;;;;Paddle**;;;;;Réseaux Sociaux**;Atelier des sens par LES CONFISERIES FLORIAN**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Pétanque par BLUE BEACON**;;
;Betsy Farmer;Betsy;Farmer;;;;;;;;;betsyfarmer@zilch.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Météo: Selerys**;Biodiversité & Environnement par le CPIE**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Pétanque par BLUE BEACON**;;
;Blanca Mendez;Blanca;Mendez;;;;;;;;;blancamendez@velity.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Comptabilité Gestion par PEPIT**;Charisme et Leadership**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Pétanque par BLUE BEACON**;;
;Page Oliver;Page;Oliver;;;;;;;;;pageoliver@equicom.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Assurance par GAN**;Ping-Pong**;Poker par ALPHA CONSEILS**;;;Pétanque par BLUE BEACON**;;
;Walter Coleman;Walter;Coleman;;;;;;;;;waltercoleman@aquamate.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Référencement Google par BRAINY UP**;Poker par ALPHA CONSEILS**;;; ;;
;Knowles Horn;Knowles;Horn;;;;;;;;;knowleshorn@insuresys.com;;;;;;;;;;;;Ping-Pong**;;;;;Charisme et Leadership**;Quiz Cinéma par ADASTRA FILMS**;Poker par ALPHA CONSEILS**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Naomi Salazar;Naomi;Salazar;;;;;;;;;naomisalazar@pyramis.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Ping-Pong**;Branding:comment valoriser votre marque par COULEUR VELVET**;Poker par ALPHA CONSEILS**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Pacheco Roman;Pacheco;Roman;;;;;;;;;pachecoroman@hotmail.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Référencement Google par BRAINY UP**;Storytelling**;Poker par ALPHA CONSEILS**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Madeleine Perez;Madeleine;Perez;;;;;;;;;madeleineperez@gmails.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Quiz Cinéma par ADASTRA FILMS**;Storytelling**;Comptabilité Gestion par PEPIT**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Long Reynolds;Long;Reynolds;;;;;;;;;longreynolds@tmail.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Comptabilité Gestion par PEPIT**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Hester Glenn;Hester;Glenn;;;;;;;;;Hesterglenn@zipak.com;;;;;;;;;;;;Storytelling**;;;;;Whimsifoil : volez au-dessus de l'eau !;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Comptabilité Gestion par PEPIT**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Wong Hogan;Wong;Hogan;;;;;;;;;wonghogan@jlmo.com;;;;;;;;;;;;Storytelling**;;;;;Réseaux Sociaux**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Comptabilité Gestion par PEPIT**;;; ;;
;Shelby Heath;Shelby;Heath;;;;;;;;;shelbyheath@trez.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Météo: Selerys**;Whimsifoil : volez au-dessus de l'eau !;Comptabilité Gestion par PEPIT**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Mabel Thornton;Mabel;Thornton;;;;;;;;;mabelthornton@viocular.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Tir à l'arc**;Basket par O'SOL**;Comptabilité Gestion par PEPIT**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Yates Downs;Yates;Downs;;;;;;;;;yatesdowns@eyewax.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Kayak;Pétanque par BLUE BEACON**;Comptabilité Gestion par PEPIT**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Joann Moses;Joann;Moses;;;;;;;;;joannmoses@moreganic.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Paddle**;Kayak**;Storytelling**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Daugherty Barlow;Daugherty;Barlow;;;;;;;;;daughertybarlow@steeltab.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Paddle;Storytelling**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Bernard Maxwell;Bernard;Maxwell;;;;;;;;;bernardmaxwell@lunchpad.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Assurance par GAN**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Storytelling**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Dudley Davidson;Dudley;Davidson;;;;;;;;;dudleydavidson@skyplex.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Branding:comment valoriser votre marque par COULEUR VELVET**;Storytelling**;;; ;;
;Jaclyn Mack;Jaclyn;Mack;;;;;;;;;jaclynmack@eweville.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Météo par SELERYS;Storytelling**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Reyna Morris;Reyna;Morris;;;;;;;;;reynamorris@papricut.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Météo par SELERYS;Storytelling**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Shawna Perry;Shawna;Perry;;;;;;;;;shawnaperry@songlines.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Yoga par ETIOLES DES SABLES**;Réseaux Sociaux**;Storytelling**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
